UPRN,YearMonth,CO2_EMISS_CURR_PER_FLOOR_AREA,ENERGY_CONSUMPTION_CURRENT,Estimated Energy_DOM_rf (kwh/m2)
5155947.0,2017-08,57,326,186.498891020091
12022450.0,2017-08,50,282,161.49821124986124
12078846.0,2017-08,53,298,341.6312911477412
34162345.0,2017-08,19,111,240.29503734043735
48044086.0,2017-08,55,311,312.0124178987679
48070687.0,2017-08,57,337,161.32741419691428
48076607.0,2017-08,29,163,109.06599176934168
121030062.0,2017-08,24,140,304.66029096459096
128032554.0,2017-08,33,186,287.4232534132534
200013766.0,2017-08,36,203,314.01223945498947
200058125.0,2017-08,71,400,351.8572627317128
200092946.0,2017-08,37,211,355.52499118659114
200110436.0,2017-08,50,284,174.26610909090908
200223524.0,2017-08,57,326,118.30217504717498
202146457.0,2017-08,29,164,185.8802774891775
207021074.0,2017-08,32,190,277.23979102009105
5870044267.0,2017-08,35,207,354.3910725219226
10003982185.0,2017-08,17,97,175.01222186147186
10013150880.0,2017-08,56,316,545.847412265512
10033237611.0,2017-08,34,194,256.0152521090021
10033619722.0,2017-08,83,489,298.81710414585416
100020205550.0,2017-08,40,230,161.8761011377511
100020961127.0,2017-08,32,182,186.17055774225773
100020997800.0,2017-08,39,222,269.6671685980686
100021202655.0,2017-08,53,307,155.81923353868356
100021251170.0,2017-08,63,355,283.7008708291708
100021300059.0,2017-08,76,431,218.21933458763462
100021336156.0,2017-08,55,311,166.37262792207792
100021344223.0,2017-08,59,336,235.2790062992563
100021387880.0,2017-08,40,229,256.67061982429334
100021487118.0,2017-08,56,270,199.34874783549776
100021496546.0,2017-08,34,192,399.42541998557
100021507593.0,2017-08,61,359,181.11250493950496
100021782175.0,2017-08,58,282,270.02814688644685
100021783631.0,2017-08,53,302,217.69890568320568
100021816336.0,2017-08,39,222,236.92814237984237
100021821372.0,2017-08,30,172,218.03553989898987
100022212333.0,2017-08,40,225,215.15230036630038
100022236052.0,2017-08,53,299,173.98197113997117
100022335313.0,2017-08,45,245,315.4011993783994
100022570585.0,2017-08,68,400,294.0312935619936
100022598788.0,2017-08,40,227,303.4496687978687
100022604947.0,2017-08,53,311,217.33470261405262
100022663657.0,2017-08,48,273,359.648102025752
100022678175.0,2017-08,34,193,111.47178336663342
100022794463.0,2017-08,47,267,240.68816464646466
100023243077.0,2017-08,39,224,135.9662290986791
200000467252.0,2017-08,26,151,250.12546702741702
200003402009.0,2017-08,25,141,175.56173759887454
5027257.0,2017-09,24,138,148.92303206238216
5036980.0,2017-09,33,185,253.4000538239538
5048954.0,2017-09,36,203,210.72109198024197
5051667.0,2017-09,32,180,96.08468691308707
6024085.0,2017-09,69,391,133.63375177045174
6069769.0,2017-09,38,217,213.85984125874126
6111921.0,2017-09,47,267,336.2690652958154
6162536.0,2017-09,17,97,188.61959089799092
12023682.0,2017-09,64,360,178.6494199134199
34025327.0,2017-09,40,228,228.41888982683983
46078671.0,2017-09,113,671,256.0277108225108
48045947.0,2017-09,46,260,217.9710296925297
100018001.0,2017-09,47,265,276.2297964646465
200122426.0,2017-09,43,245,93.8502699855699
200139278.0,2017-09,19,107,218.2068725108225
202221472.0,2017-09,21,119,227.94578177933178
207091673.0,2017-09,46,259,260.9175281829282
207178036.0,2017-09,28,162,248.12139754689755
217059319.0,2017-09,56,317,670.3932234487734
217099464.0,2017-09,72,411,126.2181624375625
5300010076.0,2017-09,54,304,358.93944747474757
5300063392.0,2017-09,41,241,250.37863055278055
5300072897.0,2017-09,49,278,246.7428494949495
5870049258.0,2017-09,37,207,202.7508898046398
10001296342.0,2017-09,20,115,149.98855779220776
10008241103.0,2017-09,23,134,389.12108903318915
10033540864.0,2017-09,31,177,265.58100468975465
10033557968.0,2017-09,50,293,287.47939419469424
10033615116.0,2017-09,71,404,314.7017443278944
10034914855.0,2017-09,55,326,327.1448419247419
10070494809.0,2017-09,18,104,268.99625916305916
100020187926.0,2017-09,59,337,152.00352579087576
100020244192.0,2017-09,54,303,358.7653663003664
100020574423.0,2017-09,62,367,307.76268932733933
100020591122.0,2017-09,43,246,395.90453475968474
100020674834.0,2017-09,39,222,233.53694355644356
100020691507.0,2017-09,48,272,160.75791111111113
100021293897.0,2017-09,38,217,148.3588540737041
100021392719.0,2017-09,30,170,600.4993700466199
100021578783.0,2017-09,52,296,314.99187512487515
100021786520.0,2017-09,59,336,207.29487582417585
100021799365.0,2017-09,31,178,246.71112512487514
100021814406.0,2017-09,57,324,231.587037978688
100021974775.0,2017-09,42,237,279.4639621267621
100022518971.0,2017-09,42,240,178.02109836829842
100022532766.0,2017-09,34,196,500.67251621711625
100022831436.0,2017-09,54,308,150.4263673326673
200003411739.0,2017-09,27,156,236.34874166666665
5027393.0,2017-10,92,523,313.88608030303027
6005489.0,2017-10,59,337,187.65898176823177
6010867.0,2017-10,58,328,381.8926040404041
6649447.0,2017-10,68,387,244.6439380952381
34131318.0,2017-10,23,132,190.86887445887442
46071681.0,2017-10,48,271,222.2069823232323
46088439.0,2017-10,62,353,205.34413254523253
48014972.0,2017-10,52,293,286.70339141414144
121025980.0,2017-10,26,149,206.81470728715732
200036650.0,2017-10,31,176,323.84877392835915
200078715.0,2017-10,87,403,170.37516263736265
202109669.0,2017-10,25,143,185.625667038517
207129159.0,2017-10,47,267,175.65210077700078
217103687.0,2017-10,75,423,235.27136546231546
5300050163.0,2017-10,74,440,267.1287196969697
5870000559.0,2017-10,51,287,165.7330207792208
5870055345.0,2017-10,31,179,452.27543282828276
5870107558.0,2017-10,46,262,150.05956398601404
10003974428.0,2017-10,24,137,201.35367727272723
10010227953.0,2017-10,26,145,339.8856662337663
10024420092.0,2017-10,45,266,141.47285700410708
10090503276.0,2017-10,37,211,190.45261803751802
10093110749.0,2017-10,104,519,170.74747024087023
100020472464.0,2017-10,55,314,256.43746127761125
100020587146.0,2017-10,39,224,312.2031806193806
100021181959.0,2017-10,39,220,210.82046385281384
100021249724.0,2017-10,51,292,285.722153013653
100021293561.0,2017-10,47,268,467.1687312409812
100021390026.0,2017-10,30,169,268.8412452103452
100021439472.0,2017-10,74,418,150.8600432178932
100021555635.0,2017-10,43,244,97.14568717948723
100021776109.0,2017-10,56,320,262.2954203512174
100021822211.0,2017-10,78,379,200.5239981018981
100021891901.0,2017-10,44,251,249.18488696303697
100023461625.0,2017-10,36,206,107.07854329004317
100023513682.0,2017-10,30,173,135.17164155289146
200001996036.0,2017-10,91,437,191.88513109113103
